375,217
191,690
322,468
441,531
460,240
456,206
573,663
127,392
253,487
599,629
314,530
440,736
489,369
807,37
30,597
680,460
172,271
630,555
46,518
460,99
544,113
685,270
625,511
607,393
569,110
799,504
329,45
808,57
534,331
755,621
221,704
381,588
511,244
634,288
419,469
698,639
631,141
750,703
112,203
734,558
770,663
126,466
410,660
751,67
651,284
719,714
440,651
669,224
519,414
331,63
677,663
488,225
772,86
531,558
209,349
347,284
401,422
626,305
111,37
411,615
651,47
797,173
376,714
350,398
103,149
71,235
356,700
555,506
481,733
379,447
783,541
543,415
491,44
286,358
631,336
116,555
190,724
654,252
278,60
281,478
172,85
462,55
453,268
432,504
259,33
785,152
704,741
198,29
337,706
709,616
113,738
554,174
743,181
712,551
310,710
591,71
196,536
527,68
785,481
223,610
77,314
112,362
687,238
533,65
507,724
633,342
547,93
584,171
476,462
213,339
768,251
159,332
368,230
319,27
674,161
360,498
151,582
236,537
51,652
440,36
170,478
493,353
254,135
757,91
149,314
236,537
212,25
192,481
136,244
55,523
631,551
709,369
227,143
550,464
265,554
201,35
141,402
266,357
368,640
355,393
594,451
722,479
511,411
159,115
436,95
403,332
383,190
345,164
496,683
300,573
498,42
310,591
547,563
174,70
545,137
778,646
145,445
157,499
37,594
781,550
258,368
499,541
247,180
301,311
687,250
744,131
270,452
313,387
45,712
514,634
633,114
323,131
403,624
443,241
382,564
134,49
626,446
388,593
155,724
749,91
91,114
409,624
544,541
740,483
168,664
423,604
142,552
340,244
374,682
225,548
734,70
716,195
568,519
692,177
607,71
754,541
637,122
66,98
320,464
99,306
313,684
65,232
170,337
412,352
616,488
465,437
26,372
751,246
778,133
117,192
645,722
762,471
702,741
315,471
702,123
516,392
573,691
271,26
620,212
447,37
794,332
636,717
557,243
268,286
221,498
619,498
727,363
188,271
389,254
398,507
546,383
194,199
488,110
457,369
522,271
710,504
328,639
665,174
180,238
610,97
508,579
561,378
633,443
593,192
466,373
444,473
791,345
759,727
423,614
360,397
717,541
675,179
366,604
371,154
85,217
333,571
124,391
470,231
801,722
386,143
313,564
774,617
210,127
189,722
199,113
51,304
178,327
499,351
466,329
563,235
749,275
48,338
359,86
494,314
623,443
263,556
648,649
42,415
754,726
386,354
777,550
344,688
307,182
373,635
466,504
89,457
101,356
36,209
468,716
710,150
137,492
39,93
173,348
744,482
550,354
671,438
44,212
178,582
755,207
668,124
